artist_name,channel_ID,channel_title,published,views,subs,videos,channel_age_years,views_per_video,subs_per_video,views_per_sub
"Mase, Lil Kim",UCir4-ocDtuqNiqFCkGEHOvg,kgurlballin,2007-04-25 02:42:28+00:00,810520.0,804.0,46.0,18.365503080082135,17620.0,17.47826086956522,1008.1094527363184
Jazmine Sullivan,UCS65KdzeUqZJw9erMhXkh4Q,Jazmine Sullivan,2008-05-20 23:08:54+00:00,794636942.0,1040000.0,36.0,17.295003422313485,22073248.388888888,28888.88888888889,764.0739826923077
"""Unashamed Forever Tour""",UC35oj_ICDPHzvFw4L66QDsw,Jay Jay,2013-12-10 14:15:51+00:00,298.0,0.0,12.0,11.737166324435318,24.833333333333332,0.0,
"""Never Have I Ever Live""",UCTeaH70VqP7V7ii_6qMcDDw,MeScreen,2017-12-22 18:23:58+00:00,126.0,34.0,1.0,7.704312114989733,126.0,34.0,3.7058823529411766
SWR Big Band,UCiqZVYisk1zpBC4bxQBofeQ,SWR Big Band,2011-02-24 14:34:27+00:00,5920225.0,14800.0,208.0,14.529774127310061,28462.62019230769,71.15384615384616,400.0152027027027
Carly Thomas,UCOjLg0Qq4vyO26f6NgTW5xw,Carly Thomas,2011-08-24 22:07:48+00:00,46806.0,337.0,23.0,14.03422313483915,2035.0434782608695,14.652173913043478,138.89020771513353
Dalton Domino,UCsF2CjVCLvMgmQSaDaEMlpg,Dalton Domino - Topic,2015-09-18 19:06:50+00:00,721252.0,952.0,55.0,9.96577686516085,13113.672727272728,17.30909090909091,757.6176470588235
Wilkinson,UC1ahZ2kOtI79jmikwJMJ5-Q,Wilkinson - Topic,2013-09-08 21:08:17+00:00,73705339.0,1750.0,234.0,11.991786447638603,314980.0811965812,7.478632478632479,42117.33657142857
"""La Traviata""",UCm9khum3fjO66hKPjzqMeLQ,LA TRAVIATA PRODUCTIONS,2014-12-05 22:50:26+00:00,2757.0,11.0,9.0,10.751540041067761,306.3333333333333,1.2222222222222223,250.63636363636363
"""Four Score And Seven Years Ago""",UCUiNRfN9H54iP_RAMaKK1cg,fourscore,2017-01-01 19:56:17+00:00,0.0,42.0,0.0,8.676249144421629,,,0.0
Salute to Vienna,UCXrjqI6shmrEbLf7koKm53Q,Salute to Vienna New Year's Concert,2010-09-22 14:00:54+00:00,490816.0,1500.0,148.0,14.954140999315538,3316.324324324324,10.135135135135135,327.21066666666667
The Corrs,UCbf7RSta_cgMhOYR_l2LkEQ,The Corrs (official),2015-09-16 15:26:30+00:00,153617092.0,237000.0,48.0,9.971252566735114,3200356.0833333335,4937.5,648.1733839662447
Philip Selway,UCVkgYnsZCgJxYBUG8N8g56A,Philip Selway - Topic,2013-07-14 13:05:26+00:00,527451.0,1500.0,87.0,12.145106091718,6062.6551724137935,17.24137931034483,351.634
Cristian Allexis,UCcGjf2zNGr3cqq3DqtI3aCw,Cristian Allexis,2012-07-07 11:32:45+00:00,6534072.0,33900.0,266.0,13.163586584531142,24564.18045112782,127.44360902255639,192.7454867256637
Allison Crutchfield,UCmQ04O0KURCfzBGDTONlfDg,Allison Crutchfield - Topic,2015-09-18 03:52:17+00:00,30809.0,120.0,18.0,9.96577686516085,1711.611111111111,6.666666666666667,256.7416666666667
Gold Panda,UCFVhNnNDFRBrnwHDe9Rv2bw,gold panda,2010-09-12 12:27:48+00:00,3901170.0,14300.0,41.0,14.981519507186858,95150.48780487805,348.780487804878,272.8090909090909
Ute Lemper,UCgmQvOHAbtFN71qb4tQA6NA,utelempersmusic,2007-09-20 16:13:15+00:00,6165478.0,14800.0,219.0,17.960301163586585,28152.867579908674,67.57990867579909,416.58635135135137
August Burns Red,UCbg_n0hovTYuCWuOcLvvvlg,augustburnsred,2006-04-14 20:25:47+00:00,91274656.0,193000.0,148.0,19.394934976043807,616720.6486486486,1304.054054054054,472.92567875647666
Big Dudee Roo & The Raptors,UCk_jUHU8iTiMO0J9pic4vtw,Big Dudee Roo,2011-12-16 21:43:45+00:00,9235.0,57.0,10.0,13.722108145106091,923.5,5.7,162.01754385964912
The Matches,UCXLPYOa3ZfO4wvW1W2i4hmA,The Matches,2014-05-11 23:58:46+00:00,1227840.0,2950.0,42.0,11.321013004791238,29234.285714285714,70.23809523809524,416.2169491525424
TOMI,UCOMg3rKI8OseTa51lWF3qOA,Tomi Arayomi,2007-10-30 15:10:49+00:00,35602959.0,382000.0,994.0,17.8507871321013,35817.866197183095,384.3058350100604,93.20146335078535
Zed (NZ),UCX9BWVdplhxXg0KPlmVZS5Q,Zed,2019-07-31 08:18:56+00:00,1240853.0,3180.0,6.0,6.099931553730322,206808.83333333334,530.0,390.2053459119497
"""WKQX Piqniq""",UCnkSvDuQlCsX5OPmUoMX2rw,Allison S,2016-05-12 14:25:45+00:00,77.0,1.0,6.0,9.316906228610542,12.833333333333334,0.16666666666666666,77.0
Scott Mulvahill,UC754Qr-UyMgydHJ1yhlwawg,Scott Mulvahill,2010-12-03 04:15:32+00:00,13261650.0,37900.0,206.0,14.757015742642025,64376.94174757282,183.98058252427185,349.9116094986807
Derrick Hodge,UC6oKX1fwFWFJKclxMdvn3IQ,Derrick Hodge,2013-06-26 18:46:33+00:00,1706143.0,4370.0,3.0,12.19438740588638,568714.3333333334,1456.6666666666667,390.4217391304348
Porter Robinson,UCKKKYE55BVswHgKihx5YXew,Porter Robinson,2010-08-04 18:05:24+00:00,529670809.0,1300000.0,128.0,15.08829568788501,4138053.1953125,10156.25,407.43908384615384
Blake Daniels,UCzEQ_Vdc_2mjcUna9PBn0jQ,Blake Daniels,2010-02-02 01:02:29+00:00,6320.0,83.0,21.0,15.589322381930184,300.95238095238096,3.9523809523809526,76.144578313253
Brutus,UCJHf0JyYmBEoYEEmM6VjAig,BRUTUS,2016-07-07 18:15:54+00:00,18046473.0,136000.0,219.0,9.163586584531142,82403.98630136986,621.0045662100457,132.6946544117647
"Dirty Heads, Iration",UCTFrIJOFJZFj1QfHrEABe3Q,Iration - Topic,2013-06-15 00:07:53+00:00,76203229.0,2180.0,394.0,12.227241615331964,193409.21065989847,5.532994923857868,34955.609633027525
Jacob Sharpe,UClM02zHdwG0Wyzzi4Hf3X6A,Jacob Sharpe,2013-06-11 01:57:50+00:00,18921566.0,301000.0,85.0,12.235455167693361,222606.6588235294,3541.176470588235,62.862345514950164
A Perfect Circle,UC0UUsQjUpLtlG6dF60DQeIQ,A Perfect Circle,2010-09-20 17:43:55+00:00,428337446.0,482000.0,6.0,14.959616700889802,71389574.33333333,80333.33333333333,888.6669004149378
